дата;вакансія;опис вакансії;посилання на вакансію;компанія;посилання на компанію
13 вересня;Junior Python Developer;CosmonovaBroadcast — українська компанія з власною телекомунікаційною інфраструктурою, дата-центром, програмно-апаратними рішеннями, пакетом сервісів і програм власної розробки.;https://djinni.co/jobs/414265-junior-python-developer/;"Cosmonova BroadcastAleksandra Chornaya,
        HR managerУкраїна(Київ)ProductHybrid Remote· 1 рік досвіду· Pre-Intermediate";https://djinni.co/jobs/company-cosmonova-eb33e/
1 вересня;Erlang Developer;Ми прагнемо знайти цілеспрямованого професіонала, який вміє працювати в режимі багатозадачності, орієнтованого на якість та результат.;https://djinni.co/jobs/466325-erlang-developer/;"MIRA - top recruitingAnastasiia Zaimenko,
        RecruiterУкраїнаProductFull Remote· 1 рік досвіду· Pre-Intermediate";https://djinni.co/jobs/company-mcg-761ed/
31 серпня;Python + Vue.JS full stack developer;Buy Now Pay Later сервіс шукає фул стек розробника для розвитку сервісу!;https://djinni.co/jobs/415187-python-vue-js-full-stack-developer/;"Ocean.meAnton Piatygin,
        Co-founderУкраїна(Київ)ProductHybrid Remote· 1 рік досвіду· Pre-Intermediate";https://djinni.co/jobs/company-ocean-credit-a3562/
